Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
1,State Providence College,3.0,Masters,New York City,F,0,1,N/A,4,Teaching Assistant,2/10,7/4,Teaching Assistant,6/29,10/11,Lawyer,8/18,10/29
2,Providence School,2.3,Bachelors,New York City,F,0,0,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,State Providence College,3.6,Masters,Providence,F,1,1,0,0,Lawyer,10/18,2/19,Senior SWE,7/16,2/14,Junior SWE,3/24,7/9
4,Providence University,3.4,Phd,Miami,M,0,1,0,1,Data Scientist,10/3,10/20,Teaching Assistant,4/5,5/28,Junior SWE,12/14,5/20
5,Providence University,2.0,Bachelors,Miami,M,0,1,0,0,Junior SWE,3/6,6/22,Junior SWE,3/8,2/1,N/A,N/A,N/A
6,Providence School,3.5,Bachelors,Boston,M,N/A,0,1,0,Data Scientist,11/25,4/11,Teaching Assistant,12/25,10/28,N/A,N/A,N/A
7,Providence University,2.2,Masters,San Francisco,M,0,1,0,0,Teaching Assistant,1/10,12/1,N/A,N/A,N/A,N/A,N/A,N/A
8,Providence University,2.9,Bachelors,San Francisco,F,0,1,0,0,Junior SWE,9/27,5/20,N/A,N/A,N/A,N/A,N/A,N/A
9,Providence University,3.6,Bachelors,Miami,M,0,1,0,1,Lawyer,4/16,5/19,Teaching Assistant,6/4,1/22,N/A,N/A,N/A
10,Providence University,3.4,Phd,San Francisco,M,0,1,0,3,Data Scientist,4/19,3/2,N/A,N/A,N/A,N/A,N/A,N/A
11,Providence University,3.7,Bachelors,Miami,F,0,1,1,1,Lawyer,2/14,5/11,Data Scientist,4/9,7/6,N/A,N/A,N/A
12,Providence School,3.7,Bachelors,New York City,F,0,1,N/A,1,Senior SWE,4/12,1/7,Senior SWE,2/20,2/3,Senior SWE,12/27,8/25
13,State Providence College,3.9,Bachelors,New York City,M,0,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,Providence School,3.8,Masters,Providence,M,0,1,0,3,Teaching Assistant,7/9,12/20,N/A,N/A,N/A,N/A,N/A,N/A
15,State Providence College,4.0,Masters,Miami,F,0,1,0,0,Junior SWE,3/26,12/5,N/A,N/A,N/A,N/A,N/A,N/A
16,Providence University,2.3,Phd,Miami,M,0,1,0,3,Junior SWE,9/26,11/25,N/A,N/A,N/A,N/A,N/A,N/A
17,Providence University,3.5,Phd,San Francisco,F,1,1,0,0,Senior SWE,12/21,11/29,Senior SWE,9/22,11/29,N/A,N/A,N/A
18,Providence School,2.6,Bachelors,Providence,M,0,0,0,0,Lawyer,7/1,9/20,N/A,N/A,N/A,N/A,N/A,N/A
19,Providence School,3.8,Bachelors,San Francisco,F,1,0,N/A,1,Data Scientist,9/13,3/29,Junior SWE,6/14,7/19,N/A,N/A,N/A
20,Providence School,3.1,Phd,San Francisco,M,0,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,Providence School,3.6,Bachelors,Providence,F,0,1,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,State Providence College,3.6,Phd,Providence,M,0,1,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23,Providence School,3.5,Bachelors,Miami,M,1,1,N/A,3,Junior SWE,3/23,6/16,Lawyer,7/17,11/10,Lawyer,12/29,9/23
24,Providence School,3.4,Phd,Boston,F,0,1,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25,Providence University,3.0,Masters,Miami,F,0,1,0,1,Teaching Assistant,11/24,12/12,Lawyer,1/21,4/21,Teaching Assistant,2/3,3/4
26,Providence School,2.1,Bachelors,Miami,N/A,0,1,0,3,Data Scientist,7/19,2/20,N/A,N/A,N/A,N/A,N/A,N/A
27,State Providence College,2.3,Masters,New York City,M,0,1,0,0,Junior SWE,5/13,11/25,Data Scientist,4/1,6/30,Data Scientist,7/27,2/4
28,State Providence College,4.0,Bachelors,New York City,M,0,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,State Providence College,3.4,Bachelors,Providence,M,0,1,0,0,Teaching Assistant,12/3,9/8,Senior SWE,5/16,3/2,Teaching Assistant,3/15,11/22
30,Providence School,4.0,Masters,Miami,M,0,1,0,1,Teaching Assistant,8/18,8/6,N/A,N/A,N/A,N/A,N/A,N/A
31,Providence School,2.9,Bachelors,New York City,M,0,1,1,4,Data Scientist,3/26,4/8,Senior SWE,4/26,2/5,Teaching Assistant,1/3,12/4
32,Providence School,3.9,Phd,Miami,F,1,1,0,0,Junior SWE,11/24,12/8,N/A,N/A,N/A,N/A,N/A,N/A
33,Providence School,4.0,Bachelors,Providence,M,1,1,0,0,Lawyer,7/20,9/13,Senior SWE,5/2,1/28,Data Scientist,12/3,6/27
34,State Providence College,2.8,Masters,Providence,M,1,1,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35,Providence University,2.1,Bachelors,Boston,F,0,1,0,1,Senior SWE,5/16,11/16,N/A,N/A,N/A,N/A,N/A,N/A
36,State Providence College,3.3,Masters,Miami,M,N/A,1,0,1,Teaching Assistant,3/9,9/18,Teaching Assistant,4/14,2/18,Teaching Assistant,1/1,9/10
37,Providence School,3.2,Phd,San Francisco,F,1,0,0,4,Lawyer,11/5,10/25,Teaching Assistant,7/24,10/28,Data Scientist,11/23,10/30
38,Providence University,2.5,Phd,San Francisco,M,N/A,1,0,1,Junior SWE,2/24,3/25,Teaching Assistant,5/9,9/30,N/A,N/A,N/A
39,State Providence College,2.0,Masters,New York City,M,0,1,0,0,Data Scientist,6/9,3/12,Junior SWE,10/17,7/17,Teaching Assistant,12/7,8/16
40,Providence University,2.2,Phd,San Francisco,M,0,1,0,1,Lawyer,7/30,2/3,Data Scientist,1/24,10/11,N/A,N/A,N/A
41,State Providence College,3.7,Masters,San Francisco,F,1,0,1,3,Data Scientist,9/24,10/8,Junior SWE,12/3,3/1,Teaching Assistant,3/27,6/8
42,Providence School,3.3,Masters,Boston,F,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43,Providence University,3.0,Masters,Providence,F,0,1,0,0,Junior SWE,2/3,3/18,N/A,N/A,N/A,N/A,N/A,N/A
44,Providence University,2.4,Phd,New York City,M,0,1,0,0,Lawyer,12/24,2/1,N/A,N/A,N/A,N/A,N/A,N/A
45,State Providence College,2.2,Masters,Providence,F,0,1,0,0,Junior SWE,3/24,8/8,Lawyer,2/19,4/15,Junior SWE,7/31,10/4
46,Providence School,3.0,Masters,San Francisco,F,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47,State Providence College,2.8,Masters,Miami,M,0,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48,Providence School,3.5,Masters,Boston,F,0,1,0,0,Teaching Assistant,8/10,9/2,Senior SWE,12/25,6/5,Lawyer,5/16,2/2
49,Providence School,2.7,Masters,Providence,F,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,Providence School,3.6,Bachelors,Providence,F,N/A,1,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51,State Providence College,3.7,Bachelors,San Francisco,M,1,0,1,0,Data Scientist,4/2,3/29,Senior SWE,11/14,2/19,Lawyer,11/5,10/1
52,Providence University,2.4,Masters,San Francisco,F,0,1,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
53,State Providence College,2.0,Masters,Boston,F,0,0,N/A,1,Teaching Assistant,5/29,1/12,N/A,N/A,N/A,N/A,N/A,N/A
54,State Providence College,2.3,Bachelors,Boston,M,0,1,0,0,Lawyer,4/3,3/16,Lawyer,7/29,5/11,Teaching Assistant,6/27,1/24
55,State Providence College,3.0,Masters,San Francisco,N/A,1,0,0,0,Teaching Assistant,3/29,2/11,Data Scientist,1/11,10/17,N/A,N/A,N/A
56,State Providence College,2.2,Masters,San Francisco,M,0,1,1,0,Data Scientist,5/28,7/28,Lawyer,2/17,9/27,N/A,N/A,N/A
57,Providence University,3.5,Phd,Boston,F,0,1,0,2,Data Scientist,1/27,9/8,Junior SWE,5/12,12/7,Data Scientist,11/2,6/19
58,Providence University,2.8,Masters,Providence,F,0,1,0,3,Senior SWE,3/16,10/13,Lawyer,8/6,1/28,N/A,N/A,N/A
59,State Providence College,2.3,Phd,Miami,F,0,1,0,0,Teaching Assistant,10/6,12/11,N/A,N/A,N/A,N/A,N/A,N/A
60,State Providence College,3.4,Bachelors,San Francisco,M,0,0,0,0,Senior SWE,7/15,4/15,Junior SWE,2/18,4/3,N/A,N/A,N/A
61,Providence University,3.4,Masters,Providence,F,0,1,0,0,Data Scientist,9/18,10/18,Lawyer,6/8,2/13,N/A,N/A,N/A
62,State Providence College,2.4,Bachelors,New York City,F,N/A,1,0,0,Senior SWE,3/18,7/11,Senior SWE,6/28,5/5,Lawyer,4/15,6/10
63,State Providence College,2.2,Bachelors,Providence,M,0,1,0,0,Junior SWE,10/31,2/15,N/A,N/A,N/A,N/A,N/A,N/A
64,Providence School,2.9,Phd,San Francisco,M,0,1,0,0,Data Scientist,6/25,11/6,Junior SWE,1/24,5/18,Data Scientist,5/23,1/31
65,Providence School,3.2,Bachelors,Boston,F,1,0,N/A,4,Teaching Assistant,12/30,2/7,Junior SWE,2/27,1/3,Teaching Assistant,3/10,7/18
66,State Providence College,3.0,Bachelors,Miami,F,0,1,0,3,Data Scientist,2/24,8/30,Data Scientist,1/23,11/6,N/A,N/A,N/A
67,Providence University,2.2,Masters,Boston,M,1,1,0,1,Junior SWE,3/1,3/24,Data Scientist,1/31,1/24,Teaching Assistant,1/31,1/27
68,Providence School,2.3,Masters,Boston,M,0,1,0,0,Data Scientist,12/24,5/10,Lawyer,6/24,12/28,N/A,N/A,N/A
69,State Providence College,3.8,Masters,Miami,F,0,1,0,0,Data Scientist,1/3,2/15,Senior SWE,10/29,6/21,N/A,N/A,N/A
70,Providence University,3.8,Phd,New York City,M,0,1,0,0,Junior SWE,1/8,8/28,Lawyer,11/6,9/21,N/A,N/A,N/A
71,Providence University,4.0,Masters,Miami,M,N/A,1,0,0,Data Scientist,7/20,3/14,Senior SWE,3/17,10/15,N/A,N/A,N/A
72,State Providence College,2.4,Masters,Providence,F,0,1,0,1,Junior SWE,6/14,7/16,N/A,N/A,N/A,N/A,N/A,N/A
73,Providence University,3.2,Bachelors,San Francisco,F,0,1,0,1,Lawyer,7/16,7/16,Teaching Assistant,12/9,3/9,N/A,N/A,N/A
74,Providence School,3.7,Masters,Miami,M,0,1,0,0,Junior SWE,10/30,4/22,N/A,N/A,N/A,N/A,N/A,N/A
75,State Providence College,2.5,Bachelors,New York City,F,0,0,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
76,Providence University,2.8,Phd,San Francisco,M,0,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
77,Providence University,2.0,Bachelors,Boston,F,1,1,0,0,Data Scientist,3/7,8/31,Senior SWE,6/8,12/2,Lawyer,7/7,6/11
78,Providence University,3.9,Masters,San Francisco,F,0,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
79,Providence University,3.5,Masters,Miami,F,0,1,0,0,Data Scientist,12/6,3/15,Senior SWE,3/20,10/27,N/A,N/A,N/A
